accession	source
BGC0000001	MIBiG
BGC0000002	MIBiG
BGC0000003	MIBiG
BGC0000004	MIBiG
BGC0000006	MIBiG
BGC0000007	MIBiG
BGC0000008	MIBiG
BGC0000009	MIBiG
BGC0000010	MIBiG
BGC0000011	MIBiG
BGC0000012	MIBiG
BGC0000013	MIBiG
BGC0000014	MIBiG
BGC0000016	MIBiG
BGC0000017	MIBiG
BGC0000018	MIBiG
BGC0000019	MIBiG
BGC0000020	MIBiG
BGC0000021	MIBiG
BGC0000022	MIBiG
BGC0000023	MIBiG
BGC0000024	MIBiG
BGC0000026	MIBiG
BGC0000027	MIBiG
BGC0000028	MIBiG
BGC0000029	MIBiG
BGC0000030	MIBiG
BGC0000031	MIBiG
BGC0000032	MIBiG
BGC0000033	MIBiG
BGC0000034	MIBiG
BGC0000035	MIBiG
BGC0000036	MIBiG
BGC0000037	MIBiG
BGC0000038	MIBiG
BGC0000039	MIBiG
BGC0000040	MIBiG
BGC0000041	MIBiG
BGC0000042	MIBiG
BGC0000043	MIBiG
BGC0000044	MIBiG
BGC0000045	MIBiG
BGC0000046	MIBiG
BGC0000047	MIBiG
BGC0000048	MIBiG
BGC0000050	MIBiG
BGC0000051	MIBiG
BGC0000052	MIBiG
BGC0000053	MIBiG
BGC0000054	MIBiG
BGC0000055	MIBiG
BGC0000056	MIBiG
BGC0000057	MIBiG
BGC0000058	MIBiG
BGC0000059	MIBiG
BGC0000060	MIBiG
BGC0000062	MIBiG
BGC0000063	MIBiG
BGC0000064	MIBiG
BGC0000065	MIBiG
BGC0000066	MIBiG
BGC0000067	MIBiG
BGC0000068	MIBiG
BGC0000069	MIBiG
BGC0000070	MIBiG
BGC0000072	MIBiG
BGC0000073	MIBiG
BGC0000074	MIBiG
BGC0000075	MIBiG
BGC0000076	MIBiG
BGC0000077	MIBiG
BGC0000078	MIBiG
BGC0000079	MIBiG
BGC0000080	MIBiG
BGC0000081	MIBiG
BGC0000082	MIBiG
BGC0000083	MIBiG
BGC0000084	MIBiG
BGC0000085	MIBiG
BGC0000086	MIBiG
BGC0000087	MIBiG
BGC0000088	MIBiG
BGC0000090	MIBiG
BGC0000091	MIBiG
BGC0000092	MIBiG
BGC0000093	MIBiG
BGC0000094	MIBiG
BGC0000096	MIBiG
BGC0000097	MIBiG
BGC0000098	MIBiG
BGC0000099	MIBiG
BGC0000100	MIBiG
BGC0000101	MIBiG
BGC0000102	MIBiG
BGC0000103	MIBiG
BGC0000104	MIBiG
BGC0000105	MIBiG
BGC0000106	MIBiG
BGC0000107	MIBiG
BGC0000109	MIBiG
BGC0000110	MIBiG
BGC0000111	MIBiG
BGC0000112	MIBiG
BGC0000113	MIBiG
BGC0000114	MIBiG
BGC0000115	MIBiG
BGC0000116	MIBiG
BGC0000117	MIBiG
BGC0000118	MIBiG
BGC0000119	MIBiG
BGC0000120	MIBiG
BGC0000121	MIBiG
BGC0000122	MIBiG
BGC0000123	MIBiG
BGC0000124	MIBiG
BGC0000125	MIBiG
BGC0000126	MIBiG
BGC0000127	MIBiG
BGC0000128	MIBiG
BGC0000129	MIBiG
BGC0000130	MIBiG
BGC0000131	MIBiG
BGC0000132	MIBiG
BGC0000133	MIBiG
BGC0000134	MIBiG
BGC0000135	MIBiG
BGC0000136	MIBiG
BGC0000137	MIBiG
BGC0000138	MIBiG
BGC0000140	MIBiG
BGC0000141	MIBiG
BGC0000142	MIBiG
BGC0000143	MIBiG
BGC0000144	MIBiG
BGC0000145	MIBiG
BGC0000146	MIBiG
BGC0000147	MIBiG
BGC0000148	MIBiG
BGC0000149	MIBiG
BGC0000150	MIBiG
BGC0000151	MIBiG
BGC0000152	MIBiG
BGC0000153	MIBiG
BGC0000154	MIBiG
BGC0000156	MIBiG
BGC0000157	MIBiG
BGC0000158	MIBiG
BGC0000159	MIBiG
BGC0000160	MIBiG
BGC0000161	MIBiG
BGC0000162	MIBiG
BGC0000163	MIBiG
BGC0000164	MIBiG
BGC0000165	MIBiG
BGC0000166	MIBiG
BGC0000167	MIBiG
BGC0000168	MIBiG
BGC0000170	MIBiG
BGC0000171	MIBiG
BGC0000172	MIBiG
BGC0000173	MIBiG
BGC0000174	MIBiG
BGC0000175	MIBiG
BGC0000176	MIBiG
BGC0000177	MIBiG
BGC0000178	MIBiG
BGC0000179	MIBiG
BGC0000180	MIBiG
BGC0000181	MIBiG
BGC0000182	MIBiG
BGC0000184	MIBiG
BGC0000185	MIBiG
BGC0000186	MIBiG
BGC0000187	MIBiG
BGC0000188	MIBiG
BGC0000189	MIBiG
BGC0000190	MIBiG
BGC0000191	MIBiG
BGC0000192	MIBiG
BGC0000193	MIBiG
BGC0000194	MIBiG
BGC0000195	MIBiG
BGC0000196	MIBiG
BGC0000197	MIBiG
BGC0000198	MIBiG
BGC0000199	MIBiG
BGC0000200	MIBiG
BGC0000201	MIBiG
BGC0000202	MIBiG
BGC0000203	MIBiG
BGC0000204	MIBiG
BGC0000205	MIBiG
BGC0000207	MIBiG
BGC0000208	MIBiG
BGC0000209	MIBiG
BGC0000210	MIBiG
BGC0000211	MIBiG
BGC0000212	MIBiG
BGC0000213	MIBiG
BGC0000214	MIBiG
BGC0000215	MIBiG
BGC0000216	MIBiG
BGC0000217	MIBiG
BGC0000218	MIBiG
BGC0000219	MIBiG
BGC0000220	MIBiG
BGC0000221	MIBiG
BGC0000222	MIBiG
BGC0000223	MIBiG
BGC0000224	MIBiG
BGC0000225	MIBiG
BGC0000226	MIBiG
BGC0000227	MIBiG
BGC0000229	MIBiG
BGC0000231	MIBiG
BGC0000232	MIBiG
BGC0000233	MIBiG
BGC0000234	MIBiG
BGC0000235	MIBiG
BGC0000236	MIBiG
BGC0000237	MIBiG
BGC0000238	MIBiG
BGC0000239	MIBiG
BGC0000240	MIBiG
BGC0000241	MIBiG
BGC0000242	MIBiG
BGC0000243	MIBiG
BGC0000244	MIBiG
BGC0000245	MIBiG
BGC0000247	MIBiG
BGC0000248	MIBiG
BGC0000249	MIBiG
BGC0000252	MIBiG
BGC0000253	MIBiG
BGC0000254	MIBiG
BGC0000255	MIBiG
BGC0000256	MIBiG
BGC0000257	MIBiG
BGC0000258	MIBiG
BGC0000259	MIBiG
BGC0000260	MIBiG
BGC0000261	MIBiG
BGC0000262	MIBiG
BGC0000263	MIBiG
BGC0000264	MIBiG
BGC0000265	MIBiG
BGC0000266	MIBiG
BGC0000267	MIBiG
BGC0000268	MIBiG
BGC0000269	MIBiG
BGC0000270	MIBiG
BGC0000271	MIBiG
BGC0000272	MIBiG
BGC0000273	MIBiG
BGC0000274	MIBiG
BGC0000275	MIBiG
BGC0000277	MIBiG
BGC0000278	MIBiG
BGC0000279	MIBiG
BGC0000280	MIBiG
BGC0000281	MIBiG
BGC0000282	MIBiG
BGC0000283	MIBiG
BGC0000285	MIBiG
BGC0000286	MIBiG
BGC0000287	MIBiG
BGC0000288	MIBiG
BGC0000289	MIBiG
BGC0000290	MIBiG
BGC0000291	MIBiG
BGC0000292	MIBiG
BGC0000293	MIBiG
BGC0000294	MIBiG
BGC0000295	MIBiG
BGC0000296	MIBiG
BGC0000297	MIBiG
BGC0000298	MIBiG
BGC0000300	MIBiG
BGC0000301	MIBiG
BGC0000302	MIBiG
BGC0000303	MIBiG
BGC0000304	MIBiG
BGC0000305	MIBiG
