protein_id	id_type
AEK75490.1	GenBank
AEK75491.1	GenBank
AEK75492.1	GenBank
AEK75493.1	GenBank
AEK75494.1	GenBank
AEK75495.1	GenBank
abyU	Not in NCBI
AEK75496.1	GenBank
AEK75497.1	GenBank
AEK75498.1	GenBank
AEK75499.1	GenBank
AEK75500.1	GenBank
AEK75501.1	GenBank
AEK75502.1	GenBank
AEK75503.1	GenBank
AEK75504.1	GenBank
AEK75505.1	GenBank
AEK75506.1	GenBank
AEK75507.1	GenBank
AEK75508.1	GenBank
AEK75509.1	GenBank
AEK75510.1	GenBank
AEK75511.1	GenBank
AEK75512.1	GenBank
AEK75513.1	GenBank
AEK75514.1	GenBank
AEK75515.1	GenBank
AEK75516.1	GenBank
AEK75517.1	GenBank
KALB_6558	Not in NCBI
KALB_6559	Not in NCBI
KALB_6560	Not in NCBI
KALB_6561	Not in NCBI
KALB_6562	Not in NCBI
KALB_6563	Not in NCBI
KALB_6564	Not in NCBI
KALB_6565	Not in NCBI
KALB_6566	Not in NCBI
KALB_6567	Not in NCBI
KALB_6568	Not in NCBI
KALB_6569	Not in NCBI
KALB_6570	Not in NCBI
KALB_6571	Not in NCBI
KALB_6572	Not in NCBI
KALB_6573	Not in NCBI
KALB_6574	Not in NCBI
KALB_6575	Not in NCBI
KALB_6576	Not in NCBI
KALB_6577	Not in NCBI
KALB_6578	Not in NCBI
KALB_6579	Not in NCBI
KALB_6580	Not in NCBI
KALB_6581	Not in NCBI
KALB_6582	Not in NCBI
KALB_6583	Not in NCBI
KALB_6584	Not in NCBI
KALB_6585	Not in NCBI
KALB_6586	Not in NCBI
KALB_6587	Not in NCBI
KALB_6588	Not in NCBI
KALB_6589	Not in NCBI
KALB_6590	Not in NCBI
KALB_6591	Not in NCBI
BAD97694.1	GenBank
BAD97695.1	GenBank
BAD97696.1	GenBank
BAD97697.1	GenBank
BAD97698.1	GenBank
BAD97699.1	GenBank
BAE71313.1	GenBank
BAE71314.1	GenBank
BAE71315.1	GenBank
BAE71316.1	GenBank
BAE71317.1	GenBank
BAE71318.1	GenBank
BAE71319.1	GenBank
BAE71320.1	GenBank
BAE71321.1	GenBank
BAE71322.1	GenBank
BAE71323.1	GenBank
BAE71324.1	GenBank
BAE71325.1	GenBank
BAE71326.1	GenBank
BAE71327.1	GenBank
BAE71328.1	GenBank
BAE71329.1	GenBank
BAE71330.1	GenBank
BAE71331.1	GenBank
BAE71332.1	GenBank
BAE71333.1	GenBank
BAE71334.1	GenBank
BAE71335.1	GenBank
AAS90092.1	GenBank
AAS90093.1	GenBank
AAS90110.1	GenBank
AAS90111.1	GenBank
AAS90095.1	GenBank
AAS90091.1	GenBank
AAS90096.1	GenBank
AAS90097.1	GenBank
AAS90098.1	GenBank
AAS90094.1	GenBank
AAS90099.1	GenBank
AAS90100.1	GenBank
AAS90101.1	GenBank
AAS90102.1	GenBank
AAS90112.1	GenBank
AAS90103.1	GenBank
AAS90104.1	GenBank
AAS90105.1	GenBank
AAS90106.1	GenBank
AAS90107.1	GenBank
AAS90108.1	GenBank
AAS90109.1	GenBank
AAS90113.1	GenBank
AAS89996.1	GenBank
AAS89997.1	GenBank
AAS89998.1	GenBank
AAS89999.1	GenBank
AAS90000.1	GenBank
AAS90001.1	GenBank
AAS90002.1	GenBank
AAS90003.1	GenBank
AAS90004.1	GenBank
AAS90005.1	GenBank
AAS90006.1	GenBank
AAS90007.1	GenBank
AAS90008.1	GenBank
AAS90009.1	GenBank
AAS90010.1	GenBank
AAS90011.1	GenBank
AAS90017.1	GenBank
AAS90012.1	GenBank
AAS90018.1	GenBank
AAS90013.1	GenBank
AAS90019.1	GenBank
AAS90014.1	GenBank
AAS90015.1	GenBank
AAS90016.1	GenBank
AAS90020.1	GenBank
AAS90021.1	GenBank
AAS90022.1	GenBank
AAS90023.1	GenBank
AAS90024.1	GenBank
AAS90025.1	GenBank
AAS90026.1	GenBank
AAS90027.1	GenBank
AAS90028.1	GenBank
AAS90029.1	GenBank
AAS90040.1	GenBank
AAS90030.1	GenBank
AAS90031.1	GenBank
AAS90032.1	GenBank
AAS90033.1	GenBank
AAS90043.1	GenBank
AAS90034.1	GenBank
AAS90041.1	GenBank
AAS90035.1	GenBank
AAS90042.1	GenBank
AAS90036.1	GenBank
AAS90037.1	GenBank
AAS90038.1	GenBank
AAS90039.1	GenBank
AAS90044.1	GenBank
AAS90045.1	GenBank
AAS90046.1	GenBank
AAS90047.1	GenBank
AAS90048.1	GenBank
AAS90049.1	GenBank
AAS90050.1	GenBank
AAS90051.1	GenBank
AAS90052.1	GenBank
AAS90053.1	GenBank
AAS90054.1	GenBank
AAS90055.1	GenBank
AAS90056.1	GenBank
AAS90057.1	GenBank
AAS90058.1	GenBank
AAS90059.1	GenBank
AAS90067.1	GenBank
AAS90060.1	GenBank
AAS90065.1	GenBank
AAS90061.1	GenBank
AAS90066.1	GenBank
AAS90062.1	GenBank
AAS90063.1	GenBank
AAS90064.1	GenBank
AAS90068.1	GenBank
AAS90069.1	GenBank
AAS90070.1	GenBank
AAS90071.1	GenBank
AAS90085.1	GenBank
AAS90086.1	GenBank
AAS90072.1	GenBank
AAS90073.1	GenBank
AAS90075.1	GenBank
AAS90074.1	GenBank
AAS90076.1	GenBank
AAS90077.1	GenBank
AAS90078.1	GenBank
AAS90079.1	GenBank
AAS90090.1	GenBank
AAS90080.1	GenBank
AAS90087.1	GenBank
AAS90081.1	GenBank
AAS90088.1	GenBank
AAS90082.1	GenBank
AAS90083.1	GenBank
AAS90084.1	GenBank
AAS90089.1	GenBank
ACI31320.1	GenBank
ACI31321.1	GenBank
ACI31322.1	GenBank
ACI31323.1	GenBank
ACH72914.1	GenBank
ACH72913.2	GenBank
ACH72912.1	GenBank
ACH72911.1	GenBank
ACH72910.1	GenBank
ACH72909.1	GenBank
ACH72908.1	GenBank
ACH72907.1	GenBank
ACH72906.1	GenBank
