accession	protein_id	source	orf_name	acc_norm	orf_norm	orf_in_mibig
BGC0000022	EAA65598	DeepBGC-protein-unique		BGC0000022		False
BGC0000022	EAA65605	DeepBGC-protein-unique		BGC0000022		False
BGC0000044	ADO69376	DeepBGC-protein-unique		BGC0000044		False
BGC0000044	ADO69377	DeepBGC-protein-unique		BGC0000044		False
BGC0000044	ADO69378	DeepBGC-protein-unique		BGC0000044		False
BGC0000044	ADO69379	DeepBGC-protein-unique		BGC0000044		False
BGC0000044	ADO69380	DeepBGC-protein-unique		BGC0000044		False
BGC0000044	ADO69381	DeepBGC-protein-unique		BGC0000044		False
BGC0000044	ADO69382	DeepBGC-protein-unique		BGC0000044		False
BGC0000044	ADO69383	DeepBGC-protein-unique		BGC0000044		False
BGC0000044	ADO69384	DeepBGC-protein-unique		BGC0000044		False
BGC0000055	CAM00053	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00054	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00055	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00056	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00057	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00058	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00059	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00060	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00061	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00062	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00063	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00064	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00065	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00066	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00067	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00068	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00069	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00070	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00071	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00072	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00073	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00074	DeepBGC-protein-unique		BGC0000055		False
BGC0000055	CAM00075	DeepBGC-protein-unique		BGC0000055		False
BGC0000057	EAA59561	DeepBGC-protein-unique		BGC0000057		False
BGC0000057	EAA59564	DeepBGC-protein-unique		BGC0000057		False
BGC0000057	EAA59570	DeepBGC-protein-unique		BGC0000057		False
BGC0000059	BAC68117	DeepBGC-protein-unique	SAVERM_407	BGC0000059	SAVERM_407	False
BGC0000059	BAC68118	DeepBGC-protein-unique	SAVERM_408	BGC0000059	SAVERM_408	False
BGC0000059	BAC68119	DeepBGC-protein-unique	SAVERM_409	BGC0000059	SAVERM_409	False
BGC0000059	BAC68120	DeepBGC-protein-unique	SAVERM_410	BGC0000059	SAVERM_410	False
BGC0000059	BAC68121	DeepBGC-protein-unique	SAVERM_411	BGC0000059	SAVERM_411	False
BGC0000059	BAC68122	DeepBGC-protein-unique	SAVERM_412	BGC0000059	SAVERM_412	False
BGC0000059	BAC68123	DeepBGC-protein-unique	SAVERM_413	BGC0000059	SAVERM_413	False
BGC0000059	BAC68124	DeepBGC-protein-unique	SAVERM_414	BGC0000059	SAVERM_414	False
BGC0000059	BAC68125	DeepBGC-protein-unique	SAVERM_415	BGC0000059	SAVERM_415	False
BGC0000059	BAC68126	DeepBGC-protein-unique	SAVERM_416	BGC0000059	SAVERM_416	False
BGC0000059	BAC68127	DeepBGC-protein-unique	SAVERM_417	BGC0000059	SAVERM_417	False
