accession	protein_id	source	uniprot_id	embl_id
BGC0000002	AHH99920	DeepBGC-protein-unique	W5WGP3	CP007155
BGC0000002	AHH99921	DeepBGC-protein-unique	W5WH47	CP007155
BGC0000002	AHH99922	DeepBGC-protein-unique	W5WGC7	CP007155
BGC0000002	AHH99923	DeepBGC-protein-unique	W5WFE7	CP007155
BGC0000002	AHH99924	DeepBGC-protein-unique	W5WP22	CP007155
BGC0000002	AHH99925	DeepBGC-protein-unique	W5WGP9	CP007155
BGC0000002	AHH99926	DeepBGC-protein-unique	W5WH52	CP007155
BGC0000002	AHH99927	DeepBGC-protein-unique	W5WGD2	CP007155
BGC0000002	AHH99928	DeepBGC-protein-unique	W5WFF3	CP007155
BGC0000002	AHH99929	DeepBGC-protein-unique	W5WP26	CP007155
BGC0000002	AHH99930	DeepBGC-protein-unique	W5WGQ4	CP007155
BGC0000002	AHH99931	DeepBGC-protein-unique	W5WH57	CP007155
BGC0000002	AHH99932	DeepBGC-protein-unique	W5WGD7	CP007155
BGC0000002	AHH99933	DeepBGC-protein-unique	W5WFF8	CP007155
BGC0000002	AHH99934	DeepBGC-protein-unique	W5WP32	CP007155
BGC0000002	AHH99935	DeepBGC-protein-unique	W5WGQ9	CP007155
BGC0000002	AHH99936	DeepBGC-protein-unique	W5WH62	CP007155
BGC0000002	AHH99937	DeepBGC-protein-unique	W5WGE3	CP007155
BGC0000002	AHH99938	DeepBGC-protein-unique	W5WFG4	CP007155
BGC0000002	AHH99939	DeepBGC-protein-unique	W5WP37	CP007155
BGC0000002	AHH99940	DeepBGC-protein-unique	W5WGR4	CP007155
BGC0000002	AHH99941	DeepBGC-protein-unique	W5WH67	CP007155
BGC0000002	AHH99942	DeepBGC-protein-unique	W5WGF0	CP007155
BGC0000002	AHH99943	DeepBGC-protein-unique	W5WFG8	CP007155
BGC0000002	AHH99944	DeepBGC-protein-unique	W5WP42	CP007155
BGC0000002	AHH99945	DeepBGC-protein-unique	W5WGR9	CP007155
BGC0000002	AHH99946	DeepBGC-protein-unique	W5WH71	CP007155
BGC0000002	AHH99947	DeepBGC-protein-unique	W5WGF6	CP007155
BGC0000002	AHH99948	DeepBGC-protein-unique	W5WFH4	CP007155
BGC0000002	AHH99949	DeepBGC-protein-unique	W5WP46	CP007155
BGC0000002	AHH99950	DeepBGC-protein-unique	W5WGS5	CP007155
BGC0000013	CBF79143	DeepBGC-protein-unique	Q5AXA9	BN001304
BGC0000013	CBF79145	DeepBGC-protein-unique	Q5AXB0	BN001304
BGC0000022	EAA65597	DeepBGC-protein-unique	Q5BEK1	BN001308,AACD01000015
BGC0000022	EAA65598	DeepBGC-protein-unique		
BGC0000022	EAA65599	DeepBGC-protein-unique	Q5BEJ9	BN001308,AACD01000015
BGC0000022	EAA65600	DeepBGC-protein-unique	Q5BEJ8	BN001308,AACD01000015
BGC0000022	EAA65601	DeepBGC-protein-unique	Q5BEJ7	BN001308,AACD01000015
BGC0000022	EAA65602	DeepBGC-protein-unique	Q5BEJ6	BN001308,AACD01000015
BGC0000022	EAA65603	DeepBGC-protein-unique	Q5BEJ5	BN001308,AACD01000015
BGC0000022	EAA65604	DeepBGC-protein-unique	Q5BEJ4	BN001308,AACD01000015
BGC0000022	EAA65605	DeepBGC-protein-unique		
BGC0000027	AGN71602	DeepBGC-protein-unique	R9UMH9	KC148521
BGC0000027	AGN71603	DeepBGC-protein-unique	R9UQ84	KC148521
BGC0000027	AGN71604	DeepBGC-protein-unique	R9UNZ6	KC148521
BGC0000027	AGN71605	DeepBGC-protein-unique	R9UMA8	KC148521
BGC0000027	AGN71606	DeepBGC-protein-unique	R9UQS5	KC148521
BGC0000027	AGN71607	DeepBGC-protein-unique	R9UMI5	KC148521
BGC0000027	AGN71608	DeepBGC-protein-unique	R9UQ88	KC148521
BGC0000027	AGN71609	DeepBGC-protein-unique	R9UNZ9	KC148521
BGC0000027	AGN71610	DeepBGC-protein-unique	R9UMB2	KC148521
BGC0000027	AGN71611	DeepBGC-protein-unique	R9UQS9	KC148521
BGC0000027	AGN71612	DeepBGC-protein-unique	R9UMJ1	KC148521
