accession	protein_id	source	orf_name	acc_norm	orf_norm	orf_in_mibig
BGC0000002	AHH99917	DeepBGC-protein-unique	KALB_6558	BGC0000002	KALB_6558	True
BGC0000002	AHH99918	DeepBGC-protein-unique	KALB_6559	BGC0000002	KALB_6559	True
BGC0000002	AHH99919	DeepBGC-protein-unique	KALB_6560	BGC0000002	KALB_6560	True
BGC0000002	AHH99920	DeepBGC-protein-unique	KALB_6561	BGC0000002	KALB_6561	True
BGC0000002	AHH99921	DeepBGC-protein-unique	KALB_6562	BGC0000002	KALB_6562	True
BGC0000002	AHH99922	DeepBGC-protein-unique	KALB_6563	BGC0000002	KALB_6563	True
BGC0000002	AHH99923	DeepBGC-protein-unique	KALB_6564	BGC0000002	KALB_6564	True
BGC0000002	AHH99924	DeepBGC-protein-unique	KALB_6565	BGC0000002	KALB_6565	True
BGC0000002	AHH99925	DeepBGC-protein-unique	KALB_6566	BGC0000002	KALB_6566	True
BGC0000002	AHH99926	DeepBGC-protein-unique	KALB_6567	BGC0000002	KALB_6567	True
BGC0000002	AHH99927	DeepBGC-protein-unique	KALB_6568	BGC0000002	KALB_6568	True
BGC0000002	AHH99928	DeepBGC-protein-unique	KALB_6569	BGC0000002	KALB_6569	True
BGC0000002	AHH99929	DeepBGC-protein-unique	KALB_6570	BGC0000002	KALB_6570	True
BGC0000002	AHH99930	DeepBGC-protein-unique	KALB_6571	BGC0000002	KALB_6571	True
BGC0000002	AHH99931	DeepBGC-protein-unique	KALB_6572	BGC0000002	KALB_6572	True
BGC0000002	AHH99932	DeepBGC-protein-unique	KALB_6573	BGC0000002	KALB_6573	True
BGC0000002	AHH99933	DeepBGC-protein-unique	KALB_6574	BGC0000002	KALB_6574	True
BGC0000002	AHH99934	DeepBGC-protein-unique	KALB_6575	BGC0000002	KALB_6575	True
BGC0000002	AHH99935	DeepBGC-protein-unique	KALB_6576	BGC0000002	KALB_6576	True
BGC0000002	AHH99936	DeepBGC-protein-unique	KALB_6577	BGC0000002	KALB_6577	True
BGC0000002	AHH99937	DeepBGC-protein-unique	KALB_6578	BGC0000002	KALB_6578	True
BGC0000002	AHH99938	DeepBGC-protein-unique	KALB_6579	BGC0000002	KALB_6579	True
BGC0000002	AHH99939	DeepBGC-protein-unique	KALB_6580	BGC0000002	KALB_6580	True
BGC0000002	AHH99940	DeepBGC-protein-unique	KALB_6581	BGC0000002	KALB_6581	True
