accession	protein_id	datatype
BGC0000001.5	AEK75490.1	GenBank
BGC0000001.5	AEK75491.1	GenBank
BGC0000001.5	AEK75492.1	GenBank
BGC0000001.5	AEK75493.1	GenBank
BGC0000001.5	AEK75494.1	GenBank
BGC0000001.5	AEK75495.1	GenBank
BGC0000001.5	abyU	Not in NCBI
BGC0000001.5	AEK75496.1	GenBank
BGC0000001.5	AEK75497.1	GenBank
BGC0000001.5	AEK75498.1	GenBank
BGC0000001.5	AEK75499.1	GenBank
BGC0000001.5	AEK75500.1	GenBank
BGC0000001.5	AEK75501.1	GenBank
BGC0000001.5	AEK75502.1	GenBank
BGC0000001.5	AEK75503.1	GenBank
BGC0000001.5	AEK75504.1	GenBank
BGC0000001.5	AEK75505.1	GenBank
BGC0000001.5	AEK75506.1	GenBank
BGC0000001.5	AEK75507.1	GenBank
BGC0000001.5	AEK75508.1	GenBank
BGC0000001.5	AEK75509.1	GenBank
BGC0000001.5	AEK75510.1	GenBank
BGC0000001.5	AEK75511.1	GenBank
BGC0000001.5	AEK75512.1	GenBank
BGC0000001.5	AEK75513.1	GenBank
BGC0000001.5	AEK75514.1	GenBank
BGC0000001.5	AEK75515.1	GenBank
BGC0000001.5	AEK75516.1	GenBank
BGC0000001.5	AEK75517.1	GenBank
BGC0000002.5	KALB_6558	Not in NCBI
BGC0000002.5	KALB_6559	Not in NCBI
BGC0000002.5	KALB_6560	Not in NCBI
BGC0000002.5	KALB_6561	Not in NCBI
BGC0000002.5	KALB_6562	Not in NCBI
BGC0000002.5	KALB_6563	Not in NCBI
BGC0000002.5	KALB_6564	Not in NCBI
BGC0000002.5	KALB_6565	Not in NCBI
BGC0000002.5	KALB_6566	Not in NCBI
BGC0000002.5	KALB_6567	Not in NCBI
BGC0000002.5	KALB_6568	Not in NCBI
BGC0000002.5	KALB_6569	Not in NCBI
BGC0000002.5	KALB_6570	Not in NCBI
BGC0000002.5	KALB_6571	Not in NCBI
BGC0000002.5	KALB_6572	Not in NCBI
BGC0000002.5	KALB_6573	Not in NCBI
BGC0000002.5	KALB_6574	Not in NCBI
BGC0000002.5	KALB_6575	Not in NCBI
BGC0000002.5	KALB_6576	Not in NCBI
BGC0000002.5	KALB_6577	Not in NCBI
BGC0000002.5	KALB_6578	Not in NCBI
BGC0000002.5	KALB_6579	Not in NCBI
BGC0000002.5	KALB_6580	Not in NCBI
BGC0000002.5	KALB_6581	Not in NCBI
BGC0000002.5	KALB_6582	Not in NCBI
BGC0000002.5	KALB_6583	Not in NCBI
BGC0000002.5	KALB_6584	Not in NCBI
BGC0000002.5	KALB_6585	Not in NCBI
BGC0000002.5	KALB_6586	Not in NCBI
BGC0000002.5	KALB_6587	Not in NCBI
BGC0000002.5	KALB_6588	Not in NCBI
BGC0000002.5	KALB_6589	Not in NCBI
BGC0000002.5	KALB_6590	Not in NCBI
BGC0000002.5	KALB_6591	Not in NCBI
BGC0000003.3	BAD97694.1	GenBank
BGC0000003.3	BAD97695.1	GenBank
BGC0000003.3	BAD97696.1	GenBank
BGC0000003.3	BAD97697.1	GenBank
BGC0000003.3	BAD97698.1	GenBank
BGC0000003.3	BAD97699.1	GenBank
BGC0000004.3	BAE71313.1	GenBank
BGC0000004.3	BAE71314.1	GenBank
BGC0000004.3	BAE71315.1	GenBank
BGC0000004.3	BAE71316.1	GenBank
BGC0000004.3	BAE71317.1	GenBank
BGC0000004.3	BAE71318.1	GenBank
BGC0000004.3	BAE71319.1	GenBank
BGC0000004.3	BAE71320.1	GenBank
BGC0000004.3	BAE71321.1	GenBank
BGC0000004.3	BAE71322.1	GenBank
BGC0000004.3	BAE71323.1	GenBank
BGC0000004.3	BAE71324.1	GenBank
BGC0000004.3	BAE71325.1	GenBank
BGC0000004.3	BAE71326.1	GenBank
BGC0000004.3	BAE71327.1	GenBank
BGC0000004.3	BAE71328.1	GenBank
BGC0000004.3	BAE71329.1	GenBank
BGC0000004.3	BAE71330.1	GenBank
BGC0000004.3	BAE71331.1	GenBank
BGC0000004.3	BAE71332.1	GenBank
BGC0000004.3	BAE71333.1	GenBank
BGC0000004.3	BAE71334.1	GenBank
BGC0000004.3	BAE71335.1	GenBank
BGC0000006.3	AAS90092.1	GenBank
BGC0000006.3	AAS90093.1	GenBank
BGC0000006.3	AAS90110.1	GenBank
BGC0000006.3	AAS90111.1	GenBank
BGC0000006.3	AAS90095.1	GenBank
BGC0000006.3	AAS90091.1	GenBank
BGC0000006.3	AAS90096.1	GenBank
BGC0000006.3	AAS90097.1	GenBank
BGC0000006.3	AAS90098.1	GenBank
BGC0000006.3	AAS90094.1	GenBank
BGC0000006.3	AAS90099.1	GenBank
BGC0000006.3	AAS90100.1	GenBank
BGC0000006.3	AAS90101.1	GenBank
BGC0000006.3	AAS90102.1	GenBank
BGC0000006.3	AAS90112.1	GenBank
BGC0000006.3	AAS90103.1	GenBank
BGC0000006.3	AAS90104.1	GenBank
BGC0000006.3	AAS90105.1	GenBank
BGC0000006.3	AAS90106.1	GenBank
BGC0000006.3	AAS90107.1	GenBank
BGC0000006.3	AAS90108.1	GenBank
BGC0000006.3	AAS90109.1	GenBank
BGC0000006.3	AAS90113.1	GenBank
BGC0000007.3	AAS89996.1	GenBank
BGC0000007.3	AAS89997.1	GenBank
BGC0000007.3	AAS89998.1	GenBank
BGC0000007.3	AAS89999.1	GenBank
BGC0000007.3	AAS90000.1	GenBank
BGC0000007.3	AAS90001.1	GenBank
BGC0000007.3	AAS90002.1	GenBank
BGC0000007.3	AAS90003.1	GenBank
BGC0000007.3	AAS90004.1	GenBank
BGC0000007.3	AAS90005.1	GenBank
BGC0000007.3	AAS90006.1	GenBank
BGC0000007.3	AAS90007.1	GenBank
BGC0000007.3	AAS90008.1	GenBank
BGC0000007.3	AAS90009.1	GenBank
BGC0000007.3	AAS90010.1	GenBank
BGC0000007.3	AAS90011.1	GenBank
BGC0000007.3	AAS90017.1	GenBank
BGC0000007.3	AAS90012.1	GenBank
BGC0000007.3	AAS90018.1	GenBank
BGC0000007.3	AAS90013.1	GenBank
BGC0000007.3	AAS90019.1	GenBank
BGC0000007.3	AAS90014.1	GenBank
BGC0000007.3	AAS90015.1	GenBank
BGC0000007.3	AAS90016.1	GenBank
BGC0000007.3	AAS90020.1	GenBank
BGC0000008.3	AAS90021.1	GenBank
BGC0000008.3	AAS90022.1	GenBank
BGC0000008.3	AAS90023.1	GenBank
BGC0000008.3	AAS90024.1	GenBank
BGC0000008.3	AAS90025.1	GenBank
BGC0000008.3	AAS90026.1	GenBank
BGC0000008.3	AAS90027.1	GenBank
BGC0000008.3	AAS90028.1	GenBank
BGC0000008.3	AAS90029.1	GenBank
BGC0000008.3	AAS90040.1	GenBank
BGC0000008.3	AAS90030.1	GenBank
BGC0000008.3	AAS90031.1	GenBank
BGC0000008.3	AAS90032.1	GenBank
BGC0000008.3	AAS90033.1	GenBank
BGC0000008.3	AAS90043.1	GenBank
BGC0000008.3	AAS90034.1	GenBank
BGC0000008.3	AAS90041.1	GenBank
BGC0000008.3	AAS90035.1	GenBank
BGC0000008.3	AAS90042.1	GenBank
BGC0000008.3	AAS90036.1	GenBank
BGC0000008.3	AAS90037.1	GenBank
BGC0000008.3	AAS90038.1	GenBank
BGC0000008.3	AAS90039.1	GenBank
BGC0000009.3	AAS90044.1	GenBank
BGC0000009.3	AAS90045.1	GenBank
BGC0000009.3	AAS90046.1	GenBank
BGC0000009.3	AAS90047.1	GenBank
BGC0000009.3	AAS90048.1	GenBank
BGC0000009.3	AAS90049.1	GenBank
BGC0000009.3	AAS90050.1	GenBank
BGC0000009.3	AAS90051.1	GenBank
BGC0000009.3	AAS90052.1	GenBank
BGC0000009.3	AAS90053.1	GenBank
BGC0000009.3	AAS90054.1	GenBank
BGC0000009.3	AAS90055.1	GenBank
BGC0000009.3	AAS90056.1	GenBank
BGC0000009.3	AAS90057.1	GenBank
BGC0000009.3	AAS90058.1	GenBank
BGC0000009.3	AAS90059.1	GenBank
BGC0000009.3	AAS90067.1	GenBank
BGC0000009.3	AAS90060.1	GenBank
BGC0000009.3	AAS90065.1	GenBank
BGC0000009.3	AAS90061.1	GenBank
BGC0000009.3	AAS90066.1	GenBank
BGC0000009.3	AAS90062.1	GenBank
BGC0000009.3	AAS90063.1	GenBank
BGC0000009.3	AAS90064.1	GenBank
BGC0000009.3	AAS90068.1	GenBank
BGC0000010.3	AAS90069.1	GenBank
BGC0000010.3	AAS90070.1	GenBank
BGC0000010.3	AAS90071.1	GenBank
BGC0000010.3	AAS90085.1	GenBank
BGC0000010.3	AAS90086.1	GenBank
BGC0000010.3	AAS90072.1	GenBank
BGC0000010.3	AAS90073.1	GenBank
BGC0000010.3	AAS90075.1	GenBank
BGC0000010.3	AAS90074.1	GenBank
BGC0000010.3	AAS90076.1	GenBank
BGC0000010.3	AAS90077.1	GenBank
BGC0000010.3	AAS90078.1	GenBank
BGC0000010.3	AAS90079.1	GenBank
BGC0000010.3	AAS90090.1	GenBank
BGC0000010.3	AAS90080.1	GenBank
BGC0000010.3	AAS90087.1	GenBank
BGC0000010.3	AAS90081.1	GenBank
BGC0000010.3	AAS90088.1	GenBank
BGC0000010.3	AAS90082.1	GenBank
BGC0000010.3	AAS90083.1	GenBank
BGC0000010.3	AAS90084.1	GenBank
BGC0000010.3	AAS90089.1	GenBank
BGC0000011.3	ACI31320.1	GenBank
BGC0000011.3	ACI31321.1	GenBank
BGC0000011.3	ACI31322.1	GenBank
BGC0000011.3	ACI31323.1	GenBank
BGC0000011.3	ACH72914.1	GenBank
BGC0000011.3	ACH72913.2	GenBank
BGC0000011.3	ACH72912.1	GenBank
BGC0000011.3	ACH72911.1	GenBank
BGC0000011.3	ACH72910.1	GenBank
BGC0000011.3	ACH72909.1	GenBank
BGC0000011.3	ACH72908.1	GenBank
BGC0000011.3	ACH72907.1	GenBank
BGC0000011.3	ACH72906.1	GenBank
BGC0000011.3	ACH72905.1	GenBank
BGC0000011.3	ACH72904.1	GenBank
BGC0000011.3	ACH72903.1	GenBank
BGC0000011.3	ACH72902.1	GenBank
BGC0000011.3	ACH72901.1	GenBank
BGC0000011.3	ACH72900.1	GenBank
BGC0000011.3	AAM18769.1	GenBank
BGC0000011.3	ACH72899.1	GenBank
