accession	protein_id	source
BGC0000001	AEK75490	MIBiG
BGC0000001	AEK75491	MIBiG
BGC0000001	AEK75492	MIBiG
BGC0000001	AEK75493	MIBiG
BGC0000001	AEK75494	MIBiG
BGC0000001	AEK75495	MIBiG
BGC0000001	abyU	MIBiG
BGC0000001	AEK75496	MIBiG
BGC0000001	AEK75497	MIBiG
BGC0000001	AEK75498	MIBiG
BGC0000001	AEK75499	MIBiG
BGC0000001	AEK75500	MIBiG
BGC0000001	AEK75501	MIBiG
BGC0000001	AEK75502	MIBiG
BGC0000001	AEK75503	MIBiG
BGC0000001	AEK75504	MIBiG
BGC0000001	AEK75505	MIBiG
BGC0000001	AEK75506	MIBiG
BGC0000001	AEK75507	MIBiG
BGC0000001	AEK75508	MIBiG
BGC0000001	AEK75509	MIBiG
BGC0000001	AEK75510	MIBiG
BGC0000001	AEK75511	MIBiG
BGC0000001	AEK75512	MIBiG
BGC0000001	AEK75513	MIBiG
BGC0000001	AEK75514	MIBiG
BGC0000001	AEK75515	MIBiG
BGC0000001	AEK75516	MIBiG
BGC0000001	AEK75517	MIBiG
BGC0000002	KALB_6558	MIBiG
BGC0000002	KALB_6559	MIBiG
BGC0000002	KALB_6560	MIBiG
BGC0000002	KALB_6561	MIBiG
BGC0000002	KALB_6562	MIBiG
BGC0000002	KALB_6563	MIBiG
BGC0000002	KALB_6564	MIBiG
BGC0000002	KALB_6565	MIBiG
BGC0000002	KALB_6566	MIBiG
BGC0000002	KALB_6567	MIBiG
BGC0000002	KALB_6568	MIBiG
BGC0000002	KALB_6569	MIBiG
BGC0000002	KALB_6570	MIBiG
BGC0000002	KALB_6571	MIBiG
BGC0000002	KALB_6572	MIBiG
BGC0000002	KALB_6573	MIBiG
BGC0000002	KALB_6574	MIBiG
BGC0000002	KALB_6575	MIBiG
BGC0000002	KALB_6576	MIBiG
BGC0000002	KALB_6577	MIBiG
BGC0000002	KALB_6578	MIBiG
BGC0000002	KALB_6579	MIBiG
BGC0000002	KALB_6580	MIBiG
BGC0000002	KALB_6581	MIBiG
BGC0000002	KALB_6582	MIBiG
BGC0000002	KALB_6583	MIBiG
BGC0000002	KALB_6584	MIBiG
BGC0000002	KALB_6585	MIBiG
BGC0000002	KALB_6586	MIBiG
BGC0000002	KALB_6587	MIBiG
BGC0000002	KALB_6588	MIBiG
BGC0000002	KALB_6589	MIBiG
BGC0000002	KALB_6590	MIBiG
BGC0000002	KALB_6591	MIBiG
BGC0000003	BAD97694	MIBiG
BGC0000003	BAD97695	MIBiG
BGC0000003	BAD97696	MIBiG
BGC0000003	BAD97697	MIBiG
BGC0000003	BAD97698	MIBiG
BGC0000003	BAD97699	MIBiG
BGC0000004	BAE71313	MIBiG
BGC0000004	BAE71314	MIBiG
BGC0000004	BAE71315	MIBiG
BGC0000004	BAE71316	MIBiG
BGC0000004	BAE71317	MIBiG
BGC0000004	BAE71318	MIBiG
BGC0000004	BAE71319	MIBiG
BGC0000004	BAE71320	MIBiG
BGC0000004	BAE71321	MIBiG
BGC0000004	BAE71322	MIBiG
BGC0000004	BAE71323	MIBiG
BGC0000004	BAE71324	MIBiG
BGC0000004	BAE71325	MIBiG
BGC0000004	BAE71326	MIBiG
BGC0000004	BAE71327	MIBiG
BGC0000004	BAE71328	MIBiG
BGC0000004	BAE71329	MIBiG
BGC0000004	BAE71330	MIBiG
BGC0000004	BAE71331	MIBiG
BGC0000004	BAE71332	MIBiG
BGC0000004	BAE71333	MIBiG
BGC0000004	BAE71334	MIBiG
BGC0000004	BAE71335	MIBiG
BGC0000006	AAS90092	MIBiG
BGC0000006	AAS90093	MIBiG
BGC0000006	AAS90110	MIBiG
BGC0000006	AAS90111	MIBiG
BGC0000006	AAS90095	MIBiG
BGC0000006	AAS90091	MIBiG
BGC0000006	AAS90096	MIBiG
BGC0000006	AAS90097	MIBiG
BGC0000006	AAS90098	MIBiG
BGC0000006	AAS90094	MIBiG
BGC0000006	AAS90099	MIBiG
BGC0000006	AAS90100	MIBiG
BGC0000006	AAS90101	MIBiG
BGC0000006	AAS90102	MIBiG
BGC0000006	AAS90112	MIBiG
BGC0000006	AAS90103	MIBiG
BGC0000006	AAS90104	MIBiG
BGC0000006	AAS90105	MIBiG
BGC0000006	AAS90106	MIBiG
BGC0000006	AAS90107	MIBiG
BGC0000006	AAS90108	MIBiG
BGC0000006	AAS90109	MIBiG
BGC0000006	AAS90113	MIBiG
BGC0000007	AAS89996	MIBiG
BGC0000007	AAS89997	MIBiG
BGC0000007	AAS89998	MIBiG
BGC0000007	AAS89999	MIBiG
BGC0000007	AAS90000	MIBiG
BGC0000007	AAS90001	MIBiG
BGC0000007	AAS90002	MIBiG
BGC0000007	AAS90003	MIBiG
BGC0000007	AAS90004	MIBiG
BGC0000007	AAS90005	MIBiG
BGC0000007	AAS90006	MIBiG
BGC0000007	AAS90007	MIBiG
BGC0000007	AAS90008	MIBiG
BGC0000007	AAS90009	MIBiG
BGC0000007	AAS90010	MIBiG
BGC0000007	AAS90011	MIBiG
BGC0000007	AAS90017	MIBiG
BGC0000007	AAS90012	MIBiG
BGC0000007	AAS90018	MIBiG
BGC0000007	AAS90013	MIBiG
BGC0000007	AAS90019	MIBiG
BGC0000007	AAS90014	MIBiG
BGC0000007	AAS90015	MIBiG
BGC0000007	AAS90016	MIBiG
BGC0000007	AAS90020	MIBiG
BGC0000008	AAS90021	MIBiG
BGC0000008	AAS90022	MIBiG
BGC0000008	AAS90023	MIBiG
BGC0000008	AAS90024	MIBiG
BGC0000008	AAS90025	MIBiG
BGC0000008	AAS90026	MIBiG
BGC0000008	AAS90027	MIBiG
BGC0000008	AAS90028	MIBiG
BGC0000008	AAS90029	MIBiG
BGC0000008	AAS90040	MIBiG
BGC0000008	AAS90030	MIBiG
BGC0000008	AAS90031	MIBiG
BGC0000008	AAS90032	MIBiG
BGC0000008	AAS90033	MIBiG
BGC0000008	AAS90043	MIBiG
BGC0000008	AAS90034	MIBiG
BGC0000008	AAS90041	MIBiG
BGC0000008	AAS90035	MIBiG
BGC0000008	AAS90042	MIBiG
BGC0000008	AAS90036	MIBiG
BGC0000008	AAS90037	MIBiG
BGC0000008	AAS90038	MIBiG
BGC0000008	AAS90039	MIBiG
BGC0000009	AAS90044	MIBiG
BGC0000009	AAS90045	MIBiG
BGC0000009	AAS90046	MIBiG
BGC0000009	AAS90047	MIBiG
BGC0000009	AAS90048	MIBiG
BGC0000009	AAS90049	MIBiG
BGC0000009	AAS90050	MIBiG
BGC0000009	AAS90051	MIBiG
BGC0000009	AAS90052	MIBiG
BGC0000009	AAS90053	MIBiG
BGC0000009	AAS90054	MIBiG
BGC0000009	AAS90055	MIBiG
BGC0000009	AAS90056	MIBiG
BGC0000009	AAS90057	MIBiG
BGC0000009	AAS90058	MIBiG
BGC0000009	AAS90059	MIBiG
BGC0000009	AAS90067	MIBiG
BGC0000009	AAS90060	MIBiG
BGC0000009	AAS90065	MIBiG
BGC0000009	AAS90061	MIBiG
BGC0000009	AAS90066	MIBiG
BGC0000009	AAS90062	MIBiG
BGC0000009	AAS90063	MIBiG
BGC0000009	AAS90064	MIBiG
BGC0000009	AAS90068	MIBiG
BGC0000010	AAS90069	MIBiG
BGC0000010	AAS90070	MIBiG
BGC0000010	AAS90071	MIBiG
BGC0000010	AAS90085	MIBiG
BGC0000010	AAS90086	MIBiG
BGC0000010	AAS90072	MIBiG
BGC0000010	AAS90073	MIBiG
BGC0000010	AAS90075	MIBiG
BGC0000010	AAS90074	MIBiG
BGC0000010	AAS90076	MIBiG
BGC0000010	AAS90077	MIBiG
BGC0000010	AAS90078	MIBiG
BGC0000010	AAS90079	MIBiG
BGC0000010	AAS90090	MIBiG
BGC0000010	AAS90080	MIBiG
BGC0000010	AAS90087	MIBiG
BGC0000010	AAS90081	MIBiG
BGC0000010	AAS90088	MIBiG
BGC0000010	AAS90082	MIBiG
BGC0000010	AAS90083	MIBiG
BGC0000010	AAS90084	MIBiG
BGC0000010	AAS90089	MIBiG
BGC0000011	ACI31320	MIBiG
BGC0000011	ACI31321	MIBiG
BGC0000011	ACI31322	MIBiG
BGC0000011	ACI31323	MIBiG
BGC0000011	ACH72914	MIBiG
BGC0000011	ACH72913	MIBiG
BGC0000011	ACH72912	MIBiG
BGC0000011	ACH72911	MIBiG
BGC0000011	ACH72910	MIBiG
BGC0000011	ACH72909	MIBiG
BGC0000011	ACH72908	MIBiG
BGC0000011	ACH72907	MIBiG
BGC0000011	ACH72906	MIBiG
BGC0000011	ACH72905	MIBiG
BGC0000011	ACH72904	MIBiG
BGC0000011	ACH72903	MIBiG
BGC0000011	ACH72902	MIBiG
BGC0000011	ACH72901	MIBiG
BGC0000011	ACH72900	MIBiG
BGC0000011	AAM18769	MIBiG
BGC0000011	ACH72899	MIBiG
BGC0000011	ACH72898	MIBiG
BGC0000011	ACH72897	MIBiG
BGC0000011	ACH72896	MIBiG
BGC0000011	ACH72895	MIBiG
BGC0000011	ACH72894	MIBiG
BGC0000012	BAD83680	MIBiG
BGC0000012	BAD83681	MIBiG
BGC0000012	BAD83682	MIBiG
BGC0000012	BAD83683	MIBiG
BGC0000012	BAD83684	MIBiG
BGC0000013	ANIA_07071	MIBiG
