accession	taxonomy	compound	bioactivities	genome_accession	location_start	location_end
BGC0000001	Verrucosispora maris AB-18-032	abyssomicin C	antibacterial, cytotoxic	JF752342.1	0	0
BGC0000002	Kutzneria albida DSM 43870	aculeximycin	antibacterial, antifungal	CP007155.1	7362971	7504512
BGC0000003	Alternaria alternata	AF-toxin		AB179766.1	0	0
BGC0000004	Aspergillus oryzae	aflatoxin G1	cytotoxic, antibacterial	AB196490.1	0	0
BGC0000005	Aspergillus parasiticus	aflatoxin		AF452809.1	0	0
BGC0000006	Aspergillus flavus	aflatoxin B1	tumor promoter, antibacterial	AY510451.1	0	0
BGC0000007	Aspergillus flavus	aflatoxin G1		AY510452.1	0	0
BGC0000008	Aspergillus flavus	aflatoxin B1		AY510453.1	0	0
BGC0000009	Aspergillus nomius	aflatoxin B1		AY510454.1	0	0
BGC0000010	Aspergillus flavus	aflatoxin		AY510455.1	0	0
BGC0000011	Aspergillus ochraceoroseus	Sterigmatocystin		AY092402.3	0	0
BGC0000012	Alternaria solani	alternapyrone	cytotoxic, antibacterial, antifungal, antiprotozoal	AB120221.1	0	0
BGC0000013	Aspergillus nidulans FGSC A4	alternariol	antifungal, antifungal, cytotoxic	BN001304.1	1119810	1127658
BGC0000014	Sorangium cellulosum	ambruticin	antifungal	DQ897667.1	0	0
BGC0000016	Streptomyces nodosus	amphotericin B	antifungal	AY636001.1	0	0
BGC0000017	[Oscillatoria] sp. PCC 6506	anatoxin-a	neurotoxic	FJ477836.1	0	0
BGC0000018	Streptomyces eurythermus	angolamycin	antibacterial	EU220288.1	0	0
BGC0000019	Streptomyces eurythermus	angolamycin	antibacterial	EU232693.1	0	0
BGC0000020	Actinosynnema pretiosum subsp. auranticum	maytansine		AF453501.1	0	0
BGC0000021	Nocardiopsis sp. FU 40	apoptolidin	cytotoxic	JF819834.1	0	0
BGC0000022	Aspergillus nidulans FGSC A4	asperfuranone	cytotoxic	AACD01000015.1	111993	153232
BGC0000023	Stigmatella aurantiaca DW4/3-1	aurafuron A	antifungal, cytotoxic, surfactant	AM850130.1	0	0
BGC0000024	Streptomyces thioluteus	aureothin	antibacterial, antifungal, antiprotozoal, cytotoxic, insecticidal	AJ575648.1	0	0
BGC0000026	Streptomyces viridochromogenes Tue57	avilamycin A	antibacterial	AF333038.2	1590	39999
BGC0000027	Monascus pilosus	ankaflavin	cytotoxic	KC148521.1	0	0
BGC0000028	Streptomyces lohii	bafilomycin B1	antibacterial, antifungal, antineoplastic, immunosuppressive	GU390405.1	0	0
BGC0000029	Streptomyces sp. DSM 21069	BE-14106	antibacterial, antifungal, cytotoxic	FJ872523.1	0	0
BGC0000030	Fusarium fujikuroi IMI 58289	bikaverin	cytotoxic, antiprotozoal, inhibitor	HF679027.1	100853	119287
BGC0000031	Streptomyces parvulus	borrelidin	antibacterial, antifungal, antiviral, cytotoxic, inhibitor	AJ580915.1	0	0
BGC0000032	Streptomyces chartreusis NRRL 3882	A23187	antibacterial, inducer	HM452329.1	0	0
BGC0000033	Micromonospora echinospora	calicheamicin	antibacterial, antifungal, cytotoxic	AF497482.1	0	0
BGC0000034	Streptomyces sp. FR-008	candicidin	antifungal	AY310323.2	0	0
BGC0000035	Streptomyces bikiniensis	chalcomycin A	antibacterial	AY509120.1	0	0
BGC0000036	Streptomyces antibioticus	chlorothricin	antibacterial	DQ116941.2	0	0
BGC0000037	Aspergillus nidulans FGSC A4	cichorine		BN001301.1	139085	146905
BGC0000038	Streptomyces coelicolor A3(2)	coelimycin P1	pigment, pigment, antibacterial, antibacterial	AL645882.2	6890528	6948414
BGC0000039	Penicillium citrinum	compactin		AB072893.1	0	0
BGC0000040	Streptomyces neyagawaensis	concanamycin A	antiprotozoal, antiviral, cytotoxic, inhibitor	DQ149987.1	0	0
BGC0000041	Pseudomonas syringae	oronofacic acid		AF098795.1	0	0
BGC0000042	Streptomyces sp. MJ635-86F5	cremimycin	antibacterial, antifungal	AB818354.1	0	0
BGC0000043	Moorea producens 19L	curacin A	cytotoxic	GQ412749.1	0	0
BGC0000044	Stigmatella aurantiaca DW4/3-1	dawenol		CP002271.1	1916099	1937355
BGC0000045	Aspergillus terreus	dehydrocurvularin	cytotoxic, cytotoxic, cytotoxic	JX971534.1	0	0
BGC0000046	Alternaria brassicicola	depudecin	inhibitor	FJ977165.1	0	0
