accession	protein_id	source
BGC0000002	AHH99917	DeepBGC-unique
BGC0000002	AHH99918	DeepBGC-unique
BGC0000002	AHH99919	DeepBGC-unique
BGC0000002	AHH99920	DeepBGC-unique
BGC0000002	AHH99921	DeepBGC-unique
BGC0000002	AHH99922	DeepBGC-unique
BGC0000002	AHH99923	DeepBGC-unique
BGC0000002	AHH99924	DeepBGC-unique
BGC0000002	AHH99925	DeepBGC-unique
BGC0000002	AHH99926	DeepBGC-unique
BGC0000002	AHH99927	DeepBGC-unique
BGC0000002	AHH99928	DeepBGC-unique
BGC0000002	AHH99929	DeepBGC-unique
BGC0000002	AHH99930	DeepBGC-unique
BGC0000002	AHH99931	DeepBGC-unique
BGC0000002	AHH99932	DeepBGC-unique
BGC0000002	AHH99933	DeepBGC-unique
BGC0000002	AHH99934	DeepBGC-unique
BGC0000002	AHH99935	DeepBGC-unique
BGC0000002	AHH99936	DeepBGC-unique
BGC0000002	AHH99937	DeepBGC-unique
BGC0000002	AHH99938	DeepBGC-unique
BGC0000002	AHH99939	DeepBGC-unique
BGC0000002	AHH99940	DeepBGC-unique
BGC0000002	AHH99941	DeepBGC-unique
BGC0000002	AHH99942	DeepBGC-unique
BGC0000002	AHH99943	DeepBGC-unique
BGC0000002	AHH99944	DeepBGC-unique
BGC0000002	AHH99945	DeepBGC-unique
BGC0000002	AHH99946	DeepBGC-unique
BGC0000002	AHH99947	DeepBGC-unique
BGC0000002	AHH99948	DeepBGC-unique
BGC0000002	AHH99949	DeepBGC-unique
BGC0000002	AHH99950	DeepBGC-unique
BGC0000005	AAN76353	DeepBGC-unique
BGC0000013	CBF79143	DeepBGC-unique
BGC0000013	CBF79145	DeepBGC-unique
BGC0000015	AAK73498	DeepBGC-unique
BGC0000015	AAK73499	DeepBGC-unique
BGC0000015	AAK73500	DeepBGC-unique
BGC0000015	AAK73501	DeepBGC-unique
BGC0000015	AAK73502	DeepBGC-unique
BGC0000015	AAK73503	DeepBGC-unique
BGC0000015	AAK73504	DeepBGC-unique
BGC0000015	AAK73505	DeepBGC-unique
BGC0000015	AAK73506	DeepBGC-unique
BGC0000015	AAK73507	DeepBGC-unique
BGC0000015	AAK73508	DeepBGC-unique
BGC0000015	AAK73509	DeepBGC-unique
BGC0000015	AAK73510	DeepBGC-unique
BGC0000015	AAK73511	DeepBGC-unique
BGC0000015	AAK73512	DeepBGC-unique
BGC0000015	AAK73513	DeepBGC-unique
BGC0000015	AAK73514	DeepBGC-unique
BGC0000015	AAV37054	DeepBGC-unique
BGC0000015	AAV37055	DeepBGC-unique
BGC0000015	AAV37056	DeepBGC-unique
BGC0000015	AAV37057	DeepBGC-unique
BGC0000015	AAV37058	DeepBGC-unique
BGC0000015	AAV37059	DeepBGC-unique
BGC0000015	AAV37060	DeepBGC-unique
BGC0000015	AAV37061	DeepBGC-unique
BGC0000015	AAV37062	DeepBGC-unique
BGC0000015	AAV37063	DeepBGC-unique
BGC0000015	AAV37064	DeepBGC-unique
BGC0000015	AAV37065	DeepBGC-unique
BGC0000015	AAV37066	DeepBGC-unique
BGC0000022	EAA65597	DeepBGC-unique
BGC0000022	EAA65598	DeepBGC-unique
BGC0000022	EAA65599	DeepBGC-unique
BGC0000022	EAA65600	DeepBGC-unique
BGC0000022	EAA65601	DeepBGC-unique
BGC0000022	EAA65602	DeepBGC-unique
BGC0000022	EAA65603	DeepBGC-unique
BGC0000022	EAA65604	DeepBGC-unique
BGC0000022	EAA65605	DeepBGC-unique
BGC0000025	BAA84591	DeepBGC-unique
BGC0000025	BAA84592	DeepBGC-unique
BGC0000025	BAA84593	DeepBGC-unique
BGC0000025	BAA84594	DeepBGC-unique
BGC0000025	BAA84595	DeepBGC-unique
BGC0000025	BAA84596	DeepBGC-unique
BGC0000025	BAA84597	DeepBGC-unique
BGC0000025	BAA84598	DeepBGC-unique
BGC0000025	BAA84599	DeepBGC-unique
BGC0000027	AGN71602	DeepBGC-unique
BGC0000027	AGN71603	DeepBGC-unique
BGC0000027	AGN71604	DeepBGC-unique
BGC0000027	AGN71605	DeepBGC-unique
BGC0000027	AGN71606	DeepBGC-unique
BGC0000027	AGN71607	DeepBGC-unique
BGC0000027	AGN71608	DeepBGC-unique
BGC0000027	AGN71609	DeepBGC-unique
BGC0000027	AGN71610	DeepBGC-unique
BGC0000027	AGN71611	DeepBGC-unique
BGC0000027	AGN71612	DeepBGC-unique
BGC0000027	AGN71613	DeepBGC-unique
BGC0000027	AGN71614	DeepBGC-unique
BGC0000027	AGN71616	DeepBGC-unique
BGC0000027	AGN71618	DeepBGC-unique
BGC0000027	AGN71619	DeepBGC-unique
BGC0000027	AGN71622	DeepBGC-unique
BGC0000027	AGN71623	DeepBGC-unique
BGC0000027	AGN71624	DeepBGC-unique
BGC0000027	AGN71625	DeepBGC-unique
BGC0000030	CCT69238	DeepBGC-unique
BGC0000030	CCT67991	DeepBGC-unique
BGC0000030	CCT67992	DeepBGC-unique
BGC0000030	CCT67993	DeepBGC-unique
BGC0000030	CCT67994	DeepBGC-unique
BGC0000030	CCT67995	DeepBGC-unique
BGC0000030	CCT67996	DeepBGC-unique
BGC0000037	CBF69451	DeepBGC-unique
BGC0000044	ADO69376	DeepBGC-unique
BGC0000044	ADO69377	DeepBGC-unique
BGC0000044	ADO69378	DeepBGC-unique
BGC0000044	ADO69379	DeepBGC-unique
BGC0000044	ADO69380	DeepBGC-unique
BGC0000044	ADO69381	DeepBGC-unique
BGC0000044	ADO69382	DeepBGC-unique
BGC0000044	ADO69383	DeepBGC-unique
BGC0000044	ADO69384	DeepBGC-unique
BGC0000049	ABB88525	DeepBGC-unique
BGC0000049	ABB88526	DeepBGC-unique
BGC0000049	ABB88527	DeepBGC-unique
BGC0000049	ABB88528	DeepBGC-unique
BGC0000049	ABB88530	DeepBGC-unique
BGC0000049	ABB88531	DeepBGC-unique
BGC0000049	ABB88532	DeepBGC-unique
BGC0000049	ABB88533	DeepBGC-unique
BGC0000049	ABB88534	DeepBGC-unique
BGC0000049	ABB88535	DeepBGC-unique
BGC0000049	ABB88536	DeepBGC-unique
BGC0000049	ABB88537	DeepBGC-unique
BGC0000049	ABB88538	DeepBGC-unique
BGC0000049	ABB88539	DeepBGC-unique
BGC0000055	CAM00053	DeepBGC-unique
BGC0000055	CAM00054	DeepBGC-unique
BGC0000055	CAM00055	DeepBGC-unique
BGC0000055	CAM00056	DeepBGC-unique
BGC0000055	CAM00057	DeepBGC-unique
BGC0000055	CAM00058	DeepBGC-unique
BGC0000055	CAM00059	DeepBGC-unique
BGC0000055	CAM00060	DeepBGC-unique
BGC0000055	CAM00061	DeepBGC-unique
BGC0000055	CAM00062	DeepBGC-unique
BGC0000055	CAM00063	DeepBGC-unique
BGC0000055	CAM00064	DeepBGC-unique
BGC0000055	CAM00065	DeepBGC-unique
BGC0000055	CAM00066	DeepBGC-unique
BGC0000055	CAM00067	DeepBGC-unique
BGC0000055	CAM00068	DeepBGC-unique
BGC0000055	CAM00069	DeepBGC-unique
BGC0000055	CAM00070	DeepBGC-unique
BGC0000055	CAM00071	DeepBGC-unique
BGC0000055	CAM00072	DeepBGC-unique
BGC0000055	CAM00073	DeepBGC-unique
BGC0000055	CAM00074	DeepBGC-unique
BGC0000055	CAM00075	DeepBGC-unique
BGC0000057	EAA59561	DeepBGC-unique
BGC0000057	EAA59562	DeepBGC-unique
BGC0000057	EAA59563	DeepBGC-unique
BGC0000057	EAA59564	DeepBGC-unique
BGC0000057	EAA59565	DeepBGC-unique
BGC0000057	EAA59566	DeepBGC-unique
BGC0000057	EAA59567	DeepBGC-unique
BGC0000057	EAA59568	DeepBGC-unique
BGC0000057	EAA59569	DeepBGC-unique
BGC0000057	EAA59570	DeepBGC-unique
BGC0000059	BAC68117	DeepBGC-unique
BGC0000059	BAC68118	DeepBGC-unique
BGC0000059	BAC68119	DeepBGC-unique
BGC0000059	BAC68120	DeepBGC-unique
BGC0000059	BAC68121	DeepBGC-unique
BGC0000059	BAC68122	DeepBGC-unique
BGC0000059	BAC68123	DeepBGC-unique
BGC0000059	BAC68124	DeepBGC-unique
BGC0000059	BAC68125	DeepBGC-unique
BGC0000059	BAC68126	DeepBGC-unique
BGC0000059	BAC68127	DeepBGC-unique
BGC0000059	BAC68128	DeepBGC-unique
BGC0000059	BAC68129	DeepBGC-unique
BGC0000061	AAQ82549	DeepBGC-unique
BGC0000061	AAQ82550	DeepBGC-unique
BGC0000061	AAQ82551	DeepBGC-unique
BGC0000061	AAQ82552	DeepBGC-unique
BGC0000061	AAQ82553	DeepBGC-unique
BGC0000061	AAQ82554	DeepBGC-unique
BGC0000061	AAQ82555	DeepBGC-unique
BGC0000061	AAQ82556	DeepBGC-unique
BGC0000061	AAQ82557	DeepBGC-unique
BGC0000061	AAQ82558	DeepBGC-unique
BGC0000061	AAQ82559	DeepBGC-unique
BGC0000061	AAQ82560	DeepBGC-unique
BGC0000061	AAQ82561	DeepBGC-unique
BGC0000061	AAQ82562	DeepBGC-unique
BGC0000061	AAQ82563	DeepBGC-unique
BGC0000061	AAQ82564	DeepBGC-unique
BGC0000061	AAQ82565	DeepBGC-unique
BGC0000061	AAQ82566	DeepBGC-unique
BGC0000061	AAQ82567	DeepBGC-unique
BGC0000061	AAQ82568	DeepBGC-unique
BGC0000061	AAQ82569	DeepBGC-unique
BGC0000062	AAN74808	DeepBGC-unique
BGC0000062	AAN74810	DeepBGC-unique
BGC0000062	AAN74811	DeepBGC-unique
BGC0000062	AAN74812	DeepBGC-unique
BGC0000062	AAN74825	DeepBGC-unique
BGC0000082	ACB46463	DeepBGC-unique
BGC0000082	ACB46464	DeepBGC-unique
BGC0000082	ACB46465	DeepBGC-unique
BGC0000082	ACB46466	DeepBGC-unique
BGC0000082	ACB46467	DeepBGC-unique
BGC0000082	ACB46468	DeepBGC-unique
BGC0000082	ACB46469	DeepBGC-unique
BGC0000082	ACB46470	DeepBGC-unique
BGC0000082	ACB46471	DeepBGC-unique
BGC0000082	ACB46472	DeepBGC-unique
BGC0000082	ACB46473	DeepBGC-unique
BGC0000082	ACB46474	DeepBGC-unique
BGC0000082	ACB46475	DeepBGC-unique
BGC0000082	ACB46476	DeepBGC-unique
BGC0000082	ACB46477	DeepBGC-unique
BGC0000082	ACB46478	DeepBGC-unique
BGC0000082	ACB46479	DeepBGC-unique
BGC0000082	ACB46480	DeepBGC-unique
BGC0000082	ACB46481	DeepBGC-unique
BGC0000082	ACB46483	DeepBGC-unique
BGC0000082	ACB46484	DeepBGC-unique
BGC0000082	ACB46485	DeepBGC-unique
BGC0000082	ACB46486	DeepBGC-unique
BGC0000082	ACB46487	DeepBGC-unique
BGC0000082	ACB46488	DeepBGC-unique
BGC0000082	ACB46489	DeepBGC-unique
BGC0000082	ACB46490	DeepBGC-unique
BGC0000082	ACB46491	DeepBGC-unique
BGC0000082	ACB46492	DeepBGC-unique
BGC0000082	ACB46493	DeepBGC-unique
BGC0000082	ACB46494	DeepBGC-unique
BGC0000082	ACB46495	DeepBGC-unique
BGC0000082	ACB46496	DeepBGC-unique
BGC0000082	ACB46497	DeepBGC-unique
BGC0000082	ACB46498	DeepBGC-unique
BGC0000082	ACB46499	DeepBGC-unique
BGC0000082	ACB46500	DeepBGC-unique
BGC0000087	AUTOORF_00001	DeepBGC-unique
BGC0000087	AUTOORF_00002	DeepBGC-unique
BGC0000087	AUTOORF_00003	DeepBGC-unique
BGC0000087	AUTOORF_00004	DeepBGC-unique
BGC0000089	AAD34553	DeepBGC-unique
BGC0000089	AAD34554	DeepBGC-unique
BGC0000089	AAD34555	DeepBGC-unique
BGC0000089	AAD34556	DeepBGC-unique
BGC0000089	AAD34557	DeepBGC-unique
BGC0000089	AAD34558	DeepBGC-unique
BGC0000089	AAD34559	DeepBGC-unique
BGC0000089	AAD34561	DeepBGC-unique
BGC0000089	AAD34562	DeepBGC-unique
BGC0000089	AAD34563	DeepBGC-unique
BGC0000089	AAD34564	DeepBGC-unique
BGC0000089	AAD34565	DeepBGC-unique
BGC0000089	AAD34566	DeepBGC-unique
BGC0000095	AGI61651	DeepBGC-unique
BGC0000095	AGI61652	DeepBGC-unique
BGC0000095	AGI61653	DeepBGC-unique
BGC0000095	AGI61654	DeepBGC-unique
BGC0000095	AGI61655	DeepBGC-unique
BGC0000095	AGI61656	DeepBGC-unique
BGC0000095	AGI61658	DeepBGC-unique
BGC0000095	AGI61660	DeepBGC-unique
BGC0000095	AGI61662	DeepBGC-unique
BGC0000095	AGI61664	DeepBGC-unique
BGC0000095	AGI61665	DeepBGC-unique
BGC0000095	AGI61666	DeepBGC-unique
BGC0000095	AGI61667	DeepBGC-unique
BGC0000095	AGI61668	DeepBGC-unique
BGC0000095	AGI61669	DeepBGC-unique
BGC0000095	AGI61670	DeepBGC-unique
BGC0000095	AGI61671	DeepBGC-unique
BGC0000095	AGI61673	DeepBGC-unique
BGC0000095	AGI61674	DeepBGC-unique
BGC0000095	AGI61675	DeepBGC-unique
BGC0000095	ctg12_orf1	DeepBGC-unique
BGC0000095	AGI61676	DeepBGC-unique
BGC0000095	ctg14_orf2	DeepBGC-unique
BGC0000095	AGI61678	DeepBGC-unique
BGC0000095	AGI61679	DeepBGC-unique
BGC0000095	AGI61680	DeepBGC-unique
BGC0000095	AGI61681	DeepBGC-unique
BGC0000101	CBF73676	DeepBGC-unique
BGC0000101	CBF73678	DeepBGC-unique
BGC0000103	CAE46843	DeepBGC-unique
BGC0000103	CAE46844	DeepBGC-unique
BGC0000103	CAE46845	DeepBGC-unique
BGC0000103	CAE46846	DeepBGC-unique
BGC0000103	CAE46847	DeepBGC-unique
BGC0000103	CAE46848	DeepBGC-unique
BGC0000103	CAE46849	DeepBGC-unique
BGC0000103	CAE46850	DeepBGC-unique
BGC0000103	CAE46851	DeepBGC-unique
BGC0000107	CBF74114	DeepBGC-unique
BGC0000108	ADX66475	DeepBGC-unique
BGC0000108	ADX66476	DeepBGC-unique
BGC0000108	ADX66474	DeepBGC-unique
BGC0000108	ADX66458	DeepBGC-unique
BGC0000108	ADD85130	DeepBGC-unique
BGC0000108	ADX66459	DeepBGC-unique
BGC0000108	ADX66460	DeepBGC-unique
BGC0000108	ADX66461	DeepBGC-unique
BGC0000108	ADX66462	DeepBGC-unique
BGC0000108	ADX66463	DeepBGC-unique
BGC0000108	ADX66464	DeepBGC-unique
BGC0000108	ADX66465	DeepBGC-unique
BGC0000108	ADX66466	DeepBGC-unique
BGC0000108	ADX66467	DeepBGC-unique
BGC0000108	ADX66468	DeepBGC-unique
BGC0000108	ADX66469	DeepBGC-unique
BGC0000108	ADX66470	DeepBGC-unique
BGC0000108	ADX78256	DeepBGC-unique
BGC0000108	ADX66471	DeepBGC-unique
BGC0000108	ADX66472	DeepBGC-unique
BGC0000108	ADX66473	DeepBGC-unique
BGC0000121	AGQ21998	DeepBGC-unique
BGC0000129	EAL89229	DeepBGC-unique
BGC0000129	EAL89230	DeepBGC-unique
BGC0000129	EBA27371	DeepBGC-unique
BGC0000129	EBA27372	DeepBGC-unique
BGC0000129	EAL89233	DeepBGC-unique
BGC0000129	EAL89234	DeepBGC-unique
BGC0000129	EAL89235	DeepBGC-unique
BGC0000129	EAL89236	DeepBGC-unique
BGC0000137	ABV97146	DeepBGC-unique
BGC0000137	ABV97147	DeepBGC-unique
BGC0000137	ABV97148	DeepBGC-unique
BGC0000137	ABV97150	DeepBGC-unique
BGC0000137	ABV97151	DeepBGC-unique
BGC0000137	ABV97152	DeepBGC-unique
BGC0000137	ABV97153	DeepBGC-unique
BGC0000137	ABV97154	DeepBGC-unique
BGC0000137	ABV97155	DeepBGC-unique
BGC0000137	ABV97156	DeepBGC-unique
BGC0000137	ABV97158	DeepBGC-unique
BGC0000137	ABV97159	DeepBGC-unique
BGC0000137	ABV97160	DeepBGC-unique
BGC0000137	ABV97161	DeepBGC-unique
BGC0000137	ABV97162	DeepBGC-unique
BGC0000137	ABV97163	DeepBGC-unique
BGC0000137	ABV97164	DeepBGC-unique
BGC0000137	ABV97165	DeepBGC-unique
BGC0000137	ABV97166	DeepBGC-unique
BGC0000137	ABV97167	DeepBGC-unique
BGC0000137	ABV97168	DeepBGC-unique
BGC0000137	ABV97169	DeepBGC-unique
BGC0000137	ABV97170	DeepBGC-unique
BGC0000137	ABV97171	DeepBGC-unique
BGC0000137	ABV97172	DeepBGC-unique
BGC0000137	ABV97173	DeepBGC-unique
BGC0000137	ABV97174	DeepBGC-unique
BGC0000137	ABV97175	DeepBGC-unique
BGC0000137	ABV97176	DeepBGC-unique
BGC0000137	ABV97177	DeepBGC-unique
BGC0000137	ABV97178	DeepBGC-unique
BGC0000137	ABV97179	DeepBGC-unique
BGC0000137	ABV97180	DeepBGC-unique
BGC0000137	ABV97181	DeepBGC-unique
BGC0000137	ABV97182	DeepBGC-unique
BGC0000137	ABV97183	DeepBGC-unique
BGC0000142	ABP55199	DeepBGC-unique
BGC0000142	ABP55200	DeepBGC-unique
BGC0000142	ABP55201	DeepBGC-unique
BGC0000142	ABP55202	DeepBGC-unique
BGC0000142	ABP55203	DeepBGC-unique
BGC0000142	ABP55205	DeepBGC-unique
BGC0000142	ABP55206	DeepBGC-unique
BGC0000142	ABP55207	DeepBGC-unique
BGC0000142	ABP55208	DeepBGC-unique
BGC0000142	ABP55209	DeepBGC-unique
BGC0000142	ABP55210	DeepBGC-unique
BGC0000142	ABP55211	DeepBGC-unique
BGC0000142	ABP55212	DeepBGC-unique
BGC0000142	ABP55214	DeepBGC-unique
BGC0000142	ABP55215	DeepBGC-unique
BGC0000142	ABP55216	DeepBGC-unique
BGC0000142	ABP55217	DeepBGC-unique
BGC0000142	ABP55218	DeepBGC-unique
BGC0000142	ABP55219	DeepBGC-unique
BGC0000142	ABP55220	DeepBGC-unique
BGC0000142	ABP55221	DeepBGC-unique
BGC0000142	ABP55222	DeepBGC-unique
BGC0000142	ABP55223	DeepBGC-unique
BGC0000149	AUTOORF_00001	DeepBGC-unique
BGC0000150	ABP55136	DeepBGC-unique
BGC0000150	ABP55137	DeepBGC-unique
BGC0000150	ABP55138	DeepBGC-unique
BGC0000150	ABP55139	DeepBGC-unique
BGC0000150	ABP55140	DeepBGC-unique
BGC0000150	ABP55141	DeepBGC-unique
BGC0000150	ABP55142	DeepBGC-unique
BGC0000150	ABP55143	DeepBGC-unique
BGC0000150	ABP55144	DeepBGC-unique
BGC0000150	ABP55145	DeepBGC-unique
BGC0000150	ABP55146	DeepBGC-unique
BGC0000150	ABP55147	DeepBGC-unique
BGC0000150	ABP55148	DeepBGC-unique
BGC0000150	ABP55150	DeepBGC-unique
BGC0000150	ABP55152	DeepBGC-unique
BGC0000150	ABP55153	DeepBGC-unique
BGC0000150	ABP55154	DeepBGC-unique
BGC0000150	ABP55155	DeepBGC-unique
BGC0000150	ABP55156	DeepBGC-unique
BGC0000150	ABP55157	DeepBGC-unique
BGC0000150	ABP55158	DeepBGC-unique
BGC0000150	ABP55159	DeepBGC-unique
BGC0000150	ABP55161	DeepBGC-unique
BGC0000150	ABP55162	DeepBGC-unique
BGC0000150	ABP55163	DeepBGC-unique
BGC0000150	ABP55164	DeepBGC-unique
BGC0000150	ABP55165	DeepBGC-unique
BGC0000150	ABP55166	DeepBGC-unique
BGC0000150	ABP55167	DeepBGC-unique
BGC0000150	ABP55168	DeepBGC-unique
BGC0000150	ABP55169	DeepBGC-unique
BGC0000150	ABP55170	DeepBGC-unique
BGC0000150	ABP55171	DeepBGC-unique
BGC0000150	ABP55172	DeepBGC-unique
BGC0000150	ABP55173	DeepBGC-unique
BGC0000150	ABP55174	DeepBGC-unique
BGC0000150	ABP55175	DeepBGC-unique
BGC0000150	ABP55176	DeepBGC-unique
BGC0000150	ABP55177	DeepBGC-unique
BGC0000150	ABP55179	DeepBGC-unique
BGC0000150	ABP55180	DeepBGC-unique
BGC0000150	ABP55181	DeepBGC-unique
BGC0000151	CAJ88175	DeepBGC-unique
BGC0000151	CAJ88176	DeepBGC-unique
BGC0000151	CAJ88177	DeepBGC-unique
BGC0000151	CAJ88178	DeepBGC-unique
BGC0000151	CAJ88179	DeepBGC-unique
BGC0000151	CAJ88180	DeepBGC-unique
BGC0000151	CAJ88181	DeepBGC-unique
BGC0000151	CAJ88182	DeepBGC-unique
BGC0000151	CAJ88183	DeepBGC-unique
