accession	protein_id	source
BGC0000002	AHH99917	DeepBGC-protein-unique
BGC0000002	AHH99918	DeepBGC-protein-unique
BGC0000002	AHH99919	DeepBGC-protein-unique
BGC0000002	AHH99920	DeepBGC-protein-unique
BGC0000002	AHH99921	DeepBGC-protein-unique
BGC0000002	AHH99922	DeepBGC-protein-unique
BGC0000002	AHH99923	DeepBGC-protein-unique
BGC0000002	AHH99924	DeepBGC-protein-unique
BGC0000002	AHH99925	DeepBGC-protein-unique
BGC0000002	AHH99926	DeepBGC-protein-unique
BGC0000002	AHH99927	DeepBGC-protein-unique
BGC0000002	AHH99928	DeepBGC-protein-unique
BGC0000002	AHH99929	DeepBGC-protein-unique
BGC0000002	AHH99930	DeepBGC-protein-unique
BGC0000002	AHH99931	DeepBGC-protein-unique
BGC0000002	AHH99932	DeepBGC-protein-unique
BGC0000002	AHH99933	DeepBGC-protein-unique
BGC0000002	AHH99934	DeepBGC-protein-unique
BGC0000002	AHH99935	DeepBGC-protein-unique
BGC0000002	AHH99936	DeepBGC-protein-unique
BGC0000002	AHH99937	DeepBGC-protein-unique
BGC0000002	AHH99938	DeepBGC-protein-unique
BGC0000002	AHH99939	DeepBGC-protein-unique
BGC0000002	AHH99940	DeepBGC-protein-unique
BGC0000002	AHH99941	DeepBGC-protein-unique
BGC0000002	AHH99942	DeepBGC-protein-unique
BGC0000002	AHH99943	DeepBGC-protein-unique
BGC0000002	AHH99944	DeepBGC-protein-unique
BGC0000002	AHH99945	DeepBGC-protein-unique
BGC0000002	AHH99946	DeepBGC-protein-unique
BGC0000002	AHH99947	DeepBGC-protein-unique
BGC0000002	AHH99948	DeepBGC-protein-unique
BGC0000002	AHH99949	DeepBGC-protein-unique
BGC0000002	AHH99950	DeepBGC-protein-unique
BGC0000013	CBF79143	DeepBGC-protein-unique
BGC0000013	CBF79145	DeepBGC-protein-unique
BGC0000022	EAA65597	DeepBGC-protein-unique
BGC0000022	EAA65598	DeepBGC-protein-unique
BGC0000022	EAA65599	DeepBGC-protein-unique
BGC0000022	EAA65600	DeepBGC-protein-unique
BGC0000022	EAA65601	DeepBGC-protein-unique
BGC0000022	EAA65602	DeepBGC-protein-unique
BGC0000022	EAA65603	DeepBGC-protein-unique
BGC0000022	EAA65604	DeepBGC-protein-unique
BGC0000022	EAA65605	DeepBGC-protein-unique
BGC0000027	AGN71602	DeepBGC-protein-unique
